ID,ISOMERIC SMILES,MW,pAct
CHEMBL3309290,CC1(C)CC(=O)Nc2ccc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)cc21,393.168856216,6.173925197299173
CHEMBL3656018,O=C(NO)c1cnc(NC2(c3cccc(F)c3)CCOCC2)nc1,332.12846862400005,6.4698003017969175
CHEMBL5200979,CCN(c1cc(-c2ccc(N3CCN(CCCCCCCCC(=O)NO)CC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,729.4577679880001,5.39577394691553
CHEMBL353018,COc1ccc(S(=O)(=O)NCc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1OC,467.15149190000005,5.045757490560675
CHEMBL5202439,O=C(CCCCc1cn(-c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)nn1)NO,528.146740868,5.739928612014925
CHEMBL5197918,CCC(CC)(c1ccc(OCC(=O)NO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,457.28282334799997,4.844663962534939
CHEMBL5093798,Cl.Cn1cc(CN2CC3(CCN(c4ncc(C(=O)NO)cn4)C3)C2)c2ccc(C#N)cc21,453.168000688,8.657577319177793
CHEMBL97629,Nc1ccccc1NC(=O)CCCCCN1C(=O)c2cccc3c(CN4CCOCC4)c(O)cc(c23)C1=O,516.2372701239999,6.301029995663981
CHEMBL2170018,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](CCCCNC(C)=O)NC(=O)CCN(CC(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O,680.426133512,6.698970004336019
CHEMBL5187930,CCCNNC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1,311.163376912,6.603277721496227
CHEMBL5209383,CCCNNC(=O)c1ccc(Nc2ccccc2)cc1,269.152812228,6.5398541825082495
CHEMBL166496,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(/C=C/C(=O)NO)cc3)cccc12,411.125277152,6.698970004336019
CHEMBL3109983,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc2c(c1)CN(CC(F)(F)F)C2=O,390.119127064,4.619788758288394
CHEMBL5082737,Nc1nc(NCCc2ccc(OCCCCC(=O)NO)cc2)nc2nc(-c3ccco3)nn12,452.19205124800004,6.989276134608227
CHEMBL5281671,O=C(NO)c1cccc(Cn2ncnc2-c2ccccc2)c1,294.111675688,4.737193076999437
CHEMBL5269889,O=C(Cc1cnc(N2CCC(CN3CC(=O)N4[C@H](c5ccc6c(c5)OCO6)c5[nH]c6ccccc6c5C[C@@H]4C3=O)CC2)nc1)NO,623.2492317759999,6.705533773838407
CHEMBL5218525,Cn1c([C@@H]2C[C@@H](OCc3ccc(C(=O)NO)cc3)CN2c2nc(N)nc(N)c2C#N)nc2cccc(Cl)c2c1=O,561.1639779280002,7.142667503568731
